航班号     共享航班     经停站     目的站     办票时间     值机柜台     登机口     航班状态
2877       -----        -----       -----       -----       -----        227          -----      
8357       -----        -----       -----       -----       -----        -----        -----      
8357       -----        -----       -----       -----       -----        224          -----      
8357       -----        -----       -----       -----       -----        224          -----      
2911       -----        -----       -----       -----       -----        -----        -----      
2911       -----        -----       -----       -----       -----        262          -----      
2911       -----        -----       -----       -----       -----        262          -----      
139        -----        -----       -----       -----       -----        -----        CKI     
8353       -----        -----       -----       -----       -----        -----        CKO     
777        -----        -----       -----       -----       -----        -----        CKI     
1371       -----        -----       -----       -----       -----        -----        CKI     
103        -----        -----       -----       -----       -----        -----        CKI     
139        -----        -----       -----       -----       A09          -----        -----      
139        -----        -----       -----       -----       A08          -----        -----      
8353       -----        -----       -----       -----       G19          -----        -----      
8353       -----        -----       -----       -----       G17          -----        -----      
777        -----        -----       -----       -----       B15          -----        -----      
777        -----        -----       -----       -----       B15          -----        -----      
103        -----        -----       -----       -----       B17          -----        -----      
103        -----        -----       -----       -----       B16          -----        -----      
8353       -----        -----       -----       -----       -----        -----        -----      
8353       -----        -----       -----       -----       -----        228          -----      
8353       -----        -----       -----       -----       -----        228          -----      
2217       -----        -----       -----       -----       -----        -----        POK     
2217       -----        -----       -----       -----       -----        216          -----      
2217       -----        -----       -----       -----       -----        216          -----      
1609       -----        -----       -----       -----       -----        -----        CKI     
7879       -----        -----       -----       -----       -----        -----        CKI     
951        -----        -----       -----       -----       -----        -----        CKI     
7855       -----        -----       -----       -----       -----        -----        CKI     
1679       -----        -----       -----       -----       -----        -----        CKI     
1609       -----        -----       -----       -----       H07          -----        -----      
1609       -----        -----       -----       -----       H05          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
951        -----        -----       -----       -----       -----        -----        -----      
951        -----        -----       -----       -----       -----        118          -----      
951        -----        -----       -----       -----       -----        118          -----      
1032       -----        -----       -----       -----       -----        -----        -----      
1245       -----        -----       -----       -----       -----        -----        -----      
1245       -----        -----       -----       -----       -----        263          -----      
1245       -----        -----       -----       -----       -----        263          -----      
1032       -----        -----       -----       -----       -----        -----        -----      
7843       -----        -----       -----       -----       -----        -----        -----      
7843       -----        -----       -----       -----       -----        -----        -----      
7844       -----        -----       -----       -----       -----        -----        -----      
7201       -----        -----       -----       -----       -----        -----        -----      
7843       -----        -----       -----       -----       -----        -----        -----      
2877       -----        -----       -----       -----       -----        -----        POK     
2877       -----        -----       -----       -----       -----        227          -----      
2877       -----        -----       -----       -----       -----        227          -----      
1533       -----        -----       -----       -----       -----        -----        CKI     
2905       -----        -----       -----       -----       -----        -----        -----      
2905       -----        -----       -----       -----       -----        261          -----      
2905       -----        -----       -----       -----       -----        261          -----      
1529       -----        -----       -----       -----       -----        -----        -----      
1529       -----        -----       -----       -----       -----        205          -----      
1529       -----        -----       -----       -----       -----        205          -----      
2911       -----        -----       -----       -----       -----        -----        POK     
2911       -----        -----       -----       -----       -----        262          -----      
2911       -----        -----       -----       -----       -----        262          -----      
7977       -----        -----       -----       -----       -----        -----        CKI     
7977       -----        -----       -----       -----       B10          -----        -----      
7977       -----        -----       -----       -----       B10          -----        -----      
8357       -----        -----       -----       -----       -----        -----        POK     
8357       -----        -----       -----       -----       -----        224          -----      
8357       -----        -----       -----       -----       -----        224          -----      
8353       -----        -----       -----       -----       -----        -----        POK     
8353       -----        -----       -----       -----       -----        228          -----      
8353       -----        -----       -----       -----       -----        228          -----      
2709       -----        -----       -----       -----       -----        -----        -----      
2709       -----        -----       -----       -----       -----        226          -----      
2709       -----        -----       -----       -----       -----        226          -----      
8349       -----        -----       -----       -----       -----        -----        POK     
8349       -----        -----       -----       -----       -----        212          -----      
8349       -----        -----       -----       -----       -----        212          -----      
2751       -----        -----       -----       -----       -----        -----        POK     
2751       -----        -----       -----       -----       -----        225          -----      
2751       -----        -----       -----       -----       -----        225          -----      
2833       -----        -----       -----       -----       -----        -----        CKI     
2833       -----        -----       -----       -----       H03          -----        -----      
2833       -----        -----       -----       -----       H08          -----        -----      
1641       -----        -----       -----       -----       -----        -----        POK     
1641       -----        -----       -----       -----       -----        264          -----      
1641       -----        -----       -----       -----       -----        264          -----      
6894       -----        -----       -----       -----       -----        -----        CKI     
363        -----        -----       -----       -----       -----        -----        CKO     
6894       -----        -----       -----       -----       G21          -----        -----      
6894       -----        -----       -----       -----       H07          -----        -----      
363        -----        -----       -----       -----       B09          -----        -----      
363        -----        -----       -----       -----       B09          -----        -----      
2736       -----        -----       -----       null       -----        -----        -----      
2736       -----        -----       -----       -----       -----        -----        ONR     
2877       -----        -----       -----       -----       -----        -----        DEP     
2877       -----        -----       -----       -----       -----        -----        -----      
2736       -----        -----       -----       -----       -----        -----        -----      
2939       -----        -----       -----       -----       -----        -----        -----      
